35b0736e-c419-11ea-ba01-ac1f6b2cd28a,Форшмак с мацой,82.67
a0eb7ff2-c3ec-11ea-ba01-ac1f6b2cd28a,Суп-пюре из картофеля с тмином,30.0
c0ddddc6-c425-11ea-ba01-ac1f6b2cd28a,Икра из свеклы,11.0
acb628a6-c3fa-11ea-b344-0242ac1c0002,Рыбные палочки с соусом тартар,40.0
4721bfd4-c3d5-11ea-baab-ac1f6b2cd28a,Домашнее ризотто с тыквой и грибами,55.0
1c03e326-c3f4-11ea-9f7f-0242ac1c0002,Картофельная запеканка с чесноком и шпинатом,46.0
5ee329a2-c487-11ea-ba01-ac1f6b2cd28a,Сырный пирог на сметане,15.27
8f059318-c428-11ea-ba01-ac1f6b2cd28a,Чоризо с чесноком,20.0
82c2a618-c432-11ea-ba01-ac1f6b2cd28a,Картошка по‑деревенски с сырным соусом,128.0
bc1f41d8-c46d-11ea-ba01-ac1f6b2cd28a,Лаймово-апельсиновая сальса для рыбы на гриле,64.0
74d57028-c3f4-11ea-ba01-ac1f6b2cd28a,Сливочный суп с морепродуктами в воке,105.43
ec11652c-c3e8-11ea-ba01-ac1f6b2cd28a,Бутерброды с авокадо и анчоусами,7.0
379cc6ae-c3f2-11ea-ba01-ac1f6b2cd28a,Салат апельсиновый с огурцом,42.0
6aec9a3a-c491-11ea-ba01-ac1f6b2cd28a,Шоколадное печенье с зефиром,10.67
b0241af0-c41a-11ea-ba01-ac1f6b2cd28a,Жареные орешки,74.67
67cb1eb8-c422-11ea-ba01-ac1f6b2cd28a,Овощные роллы с майонезом чили,44.8
7d98ea1c-c400-11ea-a7a3-0242ac1c0002,Феттучини с уткой в шоколадном соусе,21.0
6e7c0e28-c3f7-11ea-b344-0242ac1c0002,Перцы фаршированные по‑турецки,104.0
764c7526-c225-11ea-9c18-ac1f6b2cd28a,Лёгкий вареный омлет,9.6
c2c6a2ce-c3f0-11ea-ba01-ac1f6b2cd28a,Охлажденный суп из раков,23.33
704196e4-c224-11ea-9c18-ac1f6b2cd28a,Оладьи из отрубей с творогом и шпинатом,54.0
7469a8e2-c49a-11ea-ba01-ac1f6b2cd28a,Ягодные кексы,104.0
806d2a74-c21a-11ea-9c18-ac1f6b2cd28a,Симит (Турецкий бублик с кунжутной обсыпкой),39.2
56fb45f6-c3e9-11ea-ba01-ac1f6b2cd28a,Сырные тосты на сковороде,24.0
c3ad72fa-c420-11ea-ba01-ac1f6b2cd28a,Капуста брюссельская с сельдереем в молочном соусе,21.67
b0e82ed2-c482-11ea-ba01-ac1f6b2cd28a,Крем из сметаны,15.0
601ac1fa-c41d-11ea-ba01-ac1f6b2cd28a,Хумус из гречки,99.0
826a603e-c40a-11ea-9f7f-0242ac1c0002,Мясо тушеное по‑арабски,24.0
96330322-c3f2-11ea-ba01-ac1f6b2cd28a,Южно-африканский холодный йогуртовый суп с огурцами,25.0
dcc0107a-c48b-11ea-ba01-ac1f6b2cd28a,Брауни с шоколадными чипсами,15.43
b5337790-c41d-11ea-ba01-ac1f6b2cd28a,Ролл «Филадельфия»,25.71
